brand_name_key,brand_name,n_paid_prescribers,payment_usd,observed_brand_fills,expected_brand_fills,oe_ratio
RELISTOR,Relistor,4442.0,541175.9099999999,17573.3,477.9067000749953,36.7714032827795
TRULANCE,Trulance,11150.0,861833.69,44499.5,7085.3196206596185,6.280521187815837
TRINTELLIX,Trintellix,25087.0,1485400.1299999997,221879.69999999998,55178.0410939055,4.021159425039953
BELBUCA,Belbuca,4853.0,345711.36999999994,99040.90000000001,13853.58648696923,7.149116230165993
VIIBRYD,Viibryd,1315.0,30488.47,8223.800000000001,2497.0776175205892,3.2933697944742373
BELSOMRA,Belsomra,21308.0,778957.0900000002,54834.2,12081.516597637461,4.5386851523858205
COMBIVENT RESPIMAT,Combivent Respimat,267.0,7819.899999999998,1796.5,1199.8776453558266,1.4972359948144909
ADEMPAS,Adempas,1571.0,480256.2300000001,21777.8,1571.297288468203,13.85975789548414
PREMARIN,Premarin,15277.0,512134.47,168021.90000000014,85143.0279114557,1.9734076191738696
ELIQUIS,Eliquis,43495.0,3016524.0399999996,7373076.299999999,6805789.240445655,1.0833536037500329
ENTRESTO,Entresto,30579.0,1885864.9199999988,1284945.3999999997,671846.5505240291,1.9125578586326948
CRESTOR,Crestor,55.0,13051.089999999997,0.0,9.910984351519929,0.0
ZIOPTAN,Zioptan,402.0,16342.41,8258.099999999999,2706.8049619083317,3.050866285607048
CABOMETYX,Cabometyx,1723.0,1169331.0199999998,5306.200000000001,1529.0483465128839,3.4702630640170478
LATUDA,Latuda,8881.0,967417.2399999996,238507.4,92333.54994856553,2.5831065753765636
NUEDEXTA,Nuedexta,6442.0,1144331.67,49743.100000000006,5263.146386575938,9.4512096655479
CREON,Creon,16870.0,2115423.919999998,299825.49999999994,69741.47473712948,4.299098938330546
FARXIGA,Farxiga,50289.0,9430421.959999992,1093832.5,302836.82008580747,3.6119534595894494
PENNSAID,Pennsaid,5055.0,325363.6200000001,42041.6,742.7686238716988,56.6012061479619
SOLIQUA 100 33,Soliqua 100-33,18311.0,2004433.6199999994,106094.80000000002,10928.185947810847,9.708363355699772
