generic_name_key,generic_name,example_brand_name,n_brand_products,is_single_brand_equivalent,brand_premium_per_fill,n_paid_prescriber_cells,paid_total_fills,observed_brand_fills,expected_brand_fills,net_excess_brand_fills,estimated_savings_usd,savings_rank,share_of_headline_savings
GLUCAGON,Glucagon,Baqsimi,6,False,135.84456457038533,1226.0,28927.8,19753.5,16871.14793108428,2882.352068915726,391551.86174040596,,
CALCIPOTRIENE BETAMETHASONE,Calcipotriene/Betamethasone,Enstilar,2,False,641.2348127776825,116.0,2643.6000000000004,1244.3,685.604507062247,558.6954929377529,358254.99981367495,,
TOBRAMYCIN,Tobramycin,Tobi Podhaler,2,False,2766.7638395705026,1395.0,55745.8,183.70000000000002,67.07388826955555,116.62611173044444,322676.9086855029,,
METOPROLOL SUCCINATE,Metoprolol Succinate,Kapspargo Sprinkle,2,False,41.0573318292966,125728.0,34871152.90000003,21939.7,14887.045623950384,7052.654376049618,289563.17099480977,,
IVERMECTIN,Ivermectin,Soolantra,2,False,479.3353030059431,2854.0,97606.90000000001,1173.0,636.1840792889423,536.8159207110579,257314.82201244932,,
DEXTROAMPHETAMINE SULFATE,Dextroamphetamine Sulfate,Dexedrine,2,False,1256.4003107871606,1554.0,27136.399999999998,572.0,381.38741934970193,190.6125806502979,239485.70556897702,,
HALOBETASOL PROPIONATE,Halobetasol Propionate,Bryhali,3,False,694.5656518114959,2716.0,118131.99999999997,331.3,22.989143554216625,308.3108564457834,214142.1309678261,,
RISEDRONATE SODIUM,Risedronate Sodium,Actonel,2,False,262.98657185420205,3361.0,142276.8,939.3,152.8489875102566,786.4510124897433,206826.05570594384,,
DEXAMETHASONE,Dexamethasone,Hemady,3,False,458.65582567578565,17420.0,586038.2,472.8,75.27480827812293,397.52519172187704,182327.2450361225,,
NITROGLYCERIN,Nitroglycerin,Nitro-Bid,5,False,247.25141843974967,31943.0,1421832.2000000004,3486.5,2790.342861230325,696.1571387696744,172125.84001775962,,
PANTOPRAZOLE SODIUM,Pantoprazole Sodium,Protonix,2,False,497.97228443733377,132768.0,24732444.8,5412.5,5093.9354381871435,318.5645618128578,158636.32258672704,,
