prescriber_state,n_prescribers,n_industry_paid,total_payment_usd,total_drug_cost,total_fills,brand_fills,paid_brand_fills,paid_expected_brand_fills,n_later_exclusions,state_name,census_region,share_industry_paid,brand_fill_share,paid_brand_oe_ratio,later_exclusions_per_1000
IA,6547,2507.0,5000466.479999988,1843104040.1900067,25381568.80000004,2989694.9000000088,1408488.600000002,1256983.1234371536,2.0,Iowa,Midwest,0.3829234764014052,0.11778999649540985,1.1205310347752042,0.30548342752405677
KS,5847,3214.0,7768461.319999993,1667594119.8000004,20967678.59999999,2601098.000000004,1807258.5000000005,1598083.2804161028,0.0,Kansas,Midwest,0.5496835984265436,0.12405274086946398,1.130891313454849,0.0
KY,10631,6922.0,16472496.849999998,3704202635.1100044,43679192.60000008,5940797.099999987,4896279.8,4476339.65991545,14.0,Kentucky,South,0.6511146646599567,0.13600977367882883,1.0938132876387852,1.3169033957294705
LA,10588,6762.0,18439215.059999984,3344320794.74999,39417801.00000014,5194464.600000002,4212491.399999995,3502749.9474635567,13.0,Louisiana,South,0.6386475255005667,0.1317796647255889,1.2026240705678641,1.2278050623347185
ME,3708,801.0,1633422.7899999996,1106744248.3300018,11552449.199999988,1417441.2999999984,405398.7000000002,353152.563276141,4.0,Maine,Northeast,0.21601941747572814,0.1226961725137904,1.147942113853514,1.0787486515641855
MD,11723,5795.0,17654159.619999982,3181909357.0199957,30303593.800000187,4021327.0000000065,2570044.6999999993,2293423.4808405093,7.0,Maryland,South,0.49432739059967584,0.1327013233658109,1.120614976462224,0.5971167789814894
MA,18277,4742.0,19393938.35000004,5356085778.150047,52050109.3999999,6874211.699999968,2543507.700000007,2242607.6349003287,4.0,Massachusetts,Northeast,0.25945176998413305,0.13206911146280859,1.1341741909806045,0.21885429775127208
MI,22729,10171.0,29963250.539999895,7198715724.819975,79984109.99999963,10575663.600000044,6410194.099999994,5602285.680357575,23.0,Michigan,Midwest,0.44748999076070217,0.1322220576061932,1.1442105000955347,1.0119230938448678
MN,12335,1615.0,14343804.179999992,2952267412.250003,37406761.000000045,4147007.3000000087,648299.0999999997,577959.0022845491,2.0,Minnesota,Midwest,0.13092825293879207,0.11086250691419136,1.121704303311154,0.16214025131738954
MS,6322,4426.0,6765748.079999993,2028153979.2499971,24839178.800000064,3155753.5000000107,2811248.3000000087,2442076.4511124864,8.0,Mississippi,South,0.7000949066751028,0.1270474167205561,1.151171290611867,1.2654223347042075
MO,13054,6666.0,20029287.17999997,4514401144.809996,53780071.30000013,7098581.69999999,4767519.600000003,4327170.244777886,14.0,Missouri,Midwest,0.510648077217711,0.13199279079423556,1.101763815683827,1.072468208978091
MT,2351,759.0,729518.1699999992,550599987.7299994,6813438.699999998,751930.9000000012,290294.1999999997,252575.76019624557,4.0,Montana,West,0.3228413441088898,0.11035997139007082,1.1493351530425873,1.7014036580178649
NE,4207,2423.0,4553206.4399999995,1161394851.429999,13792546.89999998,1669101.5999999978,1230429.599999999,1168004.1504928835,2.0,Nebraska,Midwest,0.5759448538150701,0.12101474891486504,1.053446256574322,0.4753981459472308
NV,4911,2802.0,8985115.770000018,1404285092.5900023,16812464.8,1914944.8999999994,1371242.200000001,1185613.265179414,7.0,Nevada,West,0.5705558949297496,0.11390030687231531,1.1565678626179139,1.425371614742415
NH,3454,876.0,2245114.069999999,883926455.8600011,9396047.499999985,1142393.699999997,336253.0000000001,304401.77481598675,2.0,New Hampshire,Northeast,0.25361899247249564,0.12158236747951719,1.1046354779083258,0.5790387955993052
NJ,17361,10078.0,24580499.399999924,6000052430.230007,57725476.20000005,8807070.59999999,6842018.599999978,5733147.421643525,15.0,New Jersey,Northeast,0.5804965151776972,0.1525681757823244,1.1934140353988267,0.8640055296353897
